date,title,description,link
2019-07-15,SMM เปลี่ยนเป็น STARK,บริษัท สยามอินเตอร์มัลติมีเดีย จำกัด (มหาชน) หรือ SMM แจ้งมติเปลี่ยนแปลงชื่อบริษัท ชื่อย่อหลักทรัพย์ และตราประทับของบริษัท เป็น บริษัท สตาร์ค คอร์เปอเรชั่น จำกัด (มหาชน) หรือ STARK,
2022-09-30,STARK กำไรเติบโต,"ผลประกอบการของ STARK เติบโตเรื่อยมา โดยมีกำไรสุทธิอยู่ในช่วง 1,600 ล้านบาท ถึง 2,200 ล้านบาท ตั้งแต่ปลายปี 2562 (ค.ศ. 2019) จนถึงไตรมาสที่ 3 ในปี 2565 (ค.ศ. 2022)",
2022-12-13,ยกเลิกดีล LEONI,STARK แจ้งการเปลี่ยนแปลงวัตถุประสงค์ในการใช้เงินเพิ่มทุนที่ได้รับอนุมัติมาตั้งแต่ช่วงสิงหาคม 2565 โดยจากเดิมจะซื้อ LEONI ที่ประกอบธุรกิจโซลูชันสายเคเบิลสำหรับยานยนต์,
2023-02-10,ประธานกรรมการบริษัทลาออก,บริษัทได้รับหนังสือแจ้งลาออกอย่างกะทันหันด้วยเหตุผลส่วนตัวจากประธานเจ้าหน้าที่บริหารที่เพิ่งมีการแต่งตั้งไปไม่นาน,
2023-02-26,เลื่อนส่งงบ,STARK แจ้งขอเลื่อนนำส่งงบการเงินรวมและงบการเงินเฉพาะกิจการสำหรับปีสิ้นสุดวันที่ 31 ธันวาคม 2565 เนื่องจากการตรวจสอบข้อมูลและการตรวจสอบของผู้ตรวจสอบบัญชี โดยคาดว่าจะส่งงบได้ภายในวันที่ 31 มีนาคม 2566,
2023-03-01,SP โดยตลาดหลักทรัพย์,STARK โดนตลาดหลักทรัพย์ขึ้นเครื่องหมาย SP กรณีไม่ส่งงบ,https://www.set.or.th/th/market/news-and-alert/newsdetails?id=2023027219&symbol=STARK
2023-03-31,เลื่อนส่งงบ,STARK แจ้งขอเลื่อนนำส่งงบด้วยเหตุผลเดิม และแจ้งการเปลี่ยนแปลงรายชื่อ CFO และผู้ควบคุมดูแลการทำบัญชี,https://www.set.or.th/th/market/news-and-alert/newsdetails?id=2023039081&symbol=STARK
2023-04-19,ประธานกรรมการบริษัทลาออก,ประธานกรรมการบริษัทลาออก พร้อมกรรมการคนอื่นรวม 7 ราย โดยมีการเปลี่ยนแปลงรายชื่อ CFO และผู้ควบคุมดูแลการทำบัญชีอีกครั้ง,https://www.set.or.th/th/market/news-and-alert/newsdetails?id=2023044054&symbol=STARK
2023-06-16,ส่งงบปี 2565,STARK ส่งงบการเงิน ปี 2565,https://www.set.or.th/th/market/news-and-alert/newsdetails?id=8216391&symbol=STARK
2023-06-30,ซื้อขายวันสุดท้าย,ตลาดหลักทรัพย์ฯ แจ้งเรื่องการขึ้นเครื่องหมาย SP (Suspension) เพื่อสั่งห้ามซื้อหรือขายหลักทรัพย์ STARK อีกครั้งตั้งแต่วันที่ 1 กรกฎาคม 2566 ไปจนกว่าจะมีการพิจารณาใหม่,https://www.set.or.th/th/market/news-and-alert/newsdetails?id=8229361&symbol=STARK
